Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Algeria,0.272641768160629,0.0,0.9850599920072408,0.3181345121743275,0.3404621371092148,0.1062618715229693,0.3074152891424432,0.1992160600994516,0.4651545066909227,0.5584006061794368,0.0,0.7803029492158723,0.2227101900600888,0.3907561381552448,0.5058657792442085,0.5634392880194383,0.5233114576408314,0.7223115036922598,0.6453411532395914,0.483033991480206,0.6033495248068498,0.5668827535259834,0.6519052857578661,0.5121569993708949,0.4835489426376057,0.3888073556219579,0.3559721727409247,0.2580216429982296,0.6855193911243571,0.5598316327332112,0.5865670067987011,0.5268601551619055,0.5593856714361104,0.6132896237526756,0.5872369125171977,0.5671750746406061,0.523156068605154,0.6329499686284067,0.6669486788466972,0.6138320716424356,0.5956290071868339,0.6632100859203116,0.7615804115678897,0.609158642378852,0.681681774679567,0.633281717109919,0.7121709643680032,0.7174941988105838,0.7117221081584771,0.6881585087926242,0.774025027988719,0.6794906802885523,0.7728246847551916,0.7599150019664592,0.740678029197006,0.7007326235913075,0.6383425648783818,0.7601665981890012,0.7061408878548736,0.6918478388432149,0.6731473759257863,0.6528271640319508,0.570856352875469,0.5313371771870975
Argentina,0.6524028991425019,0.3607189181036244,0.1473700379862534,0.3927110113641022,0.4199366580287799,0.2605950434396666,0.2310273098294083,0.1319271525513415,0.5038333915818934,0.4996578019078458,0.3543679265141609,0.2940839820572085,0.212018971583997,0.3591543226472289,0.376554117117525,0.3966751816127119,0.5672964572356402,0.4243679260258634,0.6975083298200266,0.4987432458598082,0.4086937025575013,0.3871738636389367,0.6194364017088122,0.4201129273407858,0.2298153785547891,0.534460103030332,0.4296699947306269,0.2561473590830201,0.5164196020710621,0.570957778732633,0.6401022192650895,0.6597845296658922,0.7050968522022613,0.731901968935375,0.5978783550601574,0.6154186520807391,0.578968113701748,0.662225386627338,0.6713357986665273,0.609300266017144,0.5693880859546108,0.5191738222621206,0.755516343051338,0.6142230597271104,0.7098257445355279,0.6804441572036806,0.7478569149510776,0.7385343377654014,0.6805995171173407,0.7436007248781509,0.8025702522992428,0.6916135697029506,0.8032194337369658,0.7455069132849675,0.7701896516292579,0.7018771002406109,0.6782646780628426,0.7489181257697461,0.7121889871132814,0.6992004286043765,0.7354331804710211,0.6822823870023059,0.6046009297413254,0.5193029070286774
Australia,0.5936032443962349,0.401878970757932,0.3909812114921685,0.3379159586716021,0.3362831710847961,0.3738067138924684,0.2690312117417865,0.1349980790417676,0.4221481614341161,0.541354859463758,0.3198038275998446,0.3370324735444616,0.2099562745714448,0.3361562114384813,0.4113968825422963,0.4704980698334202,0.4795719460215358,0.5416584561837615,0.5802252215835951,0.5314431537211342,0.6114883030367145,0.489531900378519,0.4162979186157858,0.4885017046518822,0.5286979615198661,0.4791796259766303,0.4264643751010203,0.3989428087249056,0.6952242293483482,0.6970274321293551,0.7109402484772576,0.6697576511483583,0.7190994607685303,0.7561021130974672,0.6661851754566,0.6445363282918218,0.6071121779111228,0.7002144762441244,0.7417903523836807,0.6493283912044547,0.6206321876122122,0.6794061544466217,0.7572239901355815,0.6131085529696073,0.6808839852599379,0.6566086256133135,0.7447521611158106,0.7520558299828175,0.744442336354022,0.68608515064207,0.7810271282697492,0.6846445489591781,0.7823080784327374,0.7566154449877776,0.7449587084743866,0.7035913221406743,0.6529196807030668,0.7900316877695317,0.7349539593307239,0.7288001851773296,0.6917813143876421,0.6787775980004384,0.6685187129848309,0.5643780358621243
Austria,0.654600393742651,0.4277696344713321,0.3470879520895073,0.3230868434129735,0.2907880322343666,0.4952490593285531,0.2287830109107747,0.1279825924506552,0.398196336485638,0.5408315141772065,0.3430388437791475,0.3804016726135775,0.2342110515538108,0.3335058599283507,0.3680079273394745,0.5024023646713043,0.5186229219472589,0.5176418656972709,0.6050294120016365,0.503331941732904,0.5286156340283731,0.4563538116212369,0.5769233682921995,0.3854024129179069,0.449257789578273,0.4369430824560862,0.400499212161597,0.4830930623560792,0.6651230445967172,0.6540837693194315,0.6717207706006798,0.6423903065239266,0.6666311100544133,0.7161722000547837,0.6151507554108209,0.5923790341195927,0.5511485798026574,0.6447919623775487,0.6825308258634764,0.6123852626247449,0.5832302945104663,0.6328266310605606,0.7224239090371034,0.5824851837766163,0.6490990986518324,0.6308296310046598,0.7112755635514902,0.693156398753678,0.6662328926376673,0.638924682650699,0.73637587542382,0.6302392370273926,0.7296151081677953,0.7082543909682226,0.712034896221738,0.6723663217475234,0.6268208994464375,0.7606953545634255,0.7086548382293013,0.6875243342956496,0.6773816242645997,0.6493142140906207,0.6155370712898396,0.5057652093736084
Bangladesh,0.6649793023928485,0.4814829632084192,0.2499578104292561,0.407006080034411,0.2566499389501041,0.380723503323738,0.1691960157333421,0.1844962802542707,0.2413074367001143,0.5256533142667361,0.1220637472517947,0.0,0.2175056649531092,0.4245482839348094,0.273084423409011,0.519758580714003,0.4554389773555618,0.6758208375131672,0.5944804659016024,0.4836495862740358,0.7039825120680943,0.4594533640917399,0.6049756357606901,0.493957550730413,0.4733304725784103,0.4843344661312211,0.4527765870759859,0.3292236734866911,0.6626436361912142,0.5223314192442831,0.5479474067922255,0.48529790828158936,0.5425261045541268,0.5821615059381423,0.47656884950058176,0.4454857493267242,0.40209068663187536,0.5269893371685849,0.5885739406008015,0.4636357690717133,0.44269938050351393,0.5109180946715237,0.7094456001089473,0.566173199563034,0.6414047257735076,0.6090790281511095,0.682143862405272,0.6834116682094864,0.6830863648563954,0.6419651961208973,0.7325582429218997,0.638327505524232,0.7567902453374088,0.7410403667859005,0.7354525755513885,0.7031193887386834,0.6398385357571813,0.8058248259827169,0.7370333783372167,0.7165272810105503,0.6885241355881628,0.6637298663273731,0.5786030677838222,0.5768040132359766
Belgium,0.6434358614689057,0.476866435247062,0.3515979110066205,0.337552935336384,0.2922542669856888,0.4026558739994932,0.2392767967974774,0.1248491035999858,0.409181103866744,0.5330536562414504,0.319487639073804,0.3632066110035091,0.2501318567083272,0.34354695906252,0.3271734790030096,0.5196205033758867,0.4017059773027022,0.5839264240990174,0.547717806784387,0.5212831551545156,0.526464887092069,0.536364883515505,0.5641996942797546,0.5094193898287375,0.42555510924183937,0.3895507137650449,0.37061104940247513,0.39390922976264925,0.5758722662431772,0.6555239949967268,0.6595969133022989,0.6625530623785703,0.6695852342767864,0.7370247552385687,0.6261042919910632,0.6011256500972181,0.5528314356467768,0.6504152178322933,0.6793605677751493,0.6406728241113806,0.6069500590674868,0.6608218652447491,0.7487292122594867,0.6125572396130148,0.6804443021601961,0.6587405684275791,0.741454546360526,0.7111775045635291,0.7043678283298025,0.6741061532194916,0.7537244485259533,0.6491073407634467,0.7572268570361137,0.7358459052401433,0.7387557012506931,0.6829418945903545,0.6472585087453355,0.7763837042631553,0.7312866230260374,0.7120281464891406,0.7116922808071058,0.6714712704864055,0.6992516790703825,0.6184054438636719
Brazil,0.7156952854836564,0.5034514749484846,0.2722816128617206,0.2757369888494625,0.2711099364422666,0.5346077849417175,0.2433256263871051,0.1879943079162499,0.4982615643343463,0.5739253815585643,0.4729391639447204,0.4884530168416152,0.3311311430414358,0.4013757486255904,0.5089574686778755,0.5934163039288466,0.5147993964394698,0.6301348650487638,0.63169059118669,0.6644532044456327,0.431030726413351,0.4266043774709684,0.39454169811039,0.5075882932359255,0.6020091100068583,0.5682981141440923,0.4475298353037302,0.2776133174132127,0.6673758436638504,0.4802109436929712,0.5307809126104986,0.45844885078395875,0.5334712066486093,0.5825308126536166,0.46479555333300265,0.4272743835400683,0.39002267993384,0.4871222861932232,0.5520747675439747,0.5479937493651608,0.5168979346083599,0.5707035560114078,0.6597929793081081,0.5390152777215347,0.589207477233413,0.5625854274490525,0.6494118268304268,0.6456224526482623,0.617301804617047,0.6184119799665299,0.6778991085277047,0.574658289981048,0.6876335453376371,0.6420250332635036,0.6106472147657093,0.5662085173877385,0.5476164604855909,0.6799399392801302,0.6284437254917347,0.614755530954765,0.5940179791903495,0.5630240797917535,0.5065923380589717,0.422491291386309
Canada,0.6072194976360203,0.5193074870792066,0.3715952667191393,0.3323269696322048,0.3424715618297568,0.536830130313019,0.2294830000737992,0.1340197251369456,0.36067854914489,0.4983760035660763,0.3201763138544861,0.3674300072359628,0.2538357952566851,0.3240893177602025,0.4166649897602006,0.5234114356628484,0.4780612275303998,0.6033409006550103,0.574022953688075,0.5100917212246014,0.5770826931766884,0.5112359591806899,0.63228762540013,0.5758891569516242,0.5016515219776065,0.4366926326887264,0.44920456347769433,0.44668513093602136,0.6028299322722678,0.6499095061462183,0.6549162173413632,0.6449750939690491,0.6712759935610042,0.7239116002627333,0.6106410681390274,0.584511634846172,0.5411819762097942,0.6382783494682995,0.6775247373933981,0.6253354000640565,0.58678776663491,0.6414423390860526,0.7276452260020408,0.5846943671194653,0.6604735081263104,0.6325322111565987,0.7068607141921912,0.6953076524312655,0.6732830021218688,0.6491850837234378,0.733431056390244,0.6231697010777703,0.7301902004349141,0.7078315476288037,0.6897198837517197,0.6446907420940047,0.6083445368070665,0.7406639074975486,0.685547663146803,0.6551850341542639,0.6533331115709302,0.6211526900034786,0.6395233329717908,0.5426440309680477
Chile,0.6542338944394108,0.4523265673761201,0.3798244413595212,0.2594193004346503,0.2396089245295873,0.7119565411639918,0.2358601673484525,0.1178607006531444,0.3307641087266104,0.4860130760848553,0.435982621537291,0.2499627019134585,0.1282173311055656,0.2901173792144266,0.064464359364737,0.4867957875101171,0.6779452150245957,0.6965144624339129,0.6635477301723628,0.6422818602886816,0.6917346856874164,0.1160262158361373,0.332588165745971,0.4752346720158842,0.4793357983297325,0.5155284410410541,0.5169847510195004,0.4320700644796245,0.7727012484419415,0.5244122206992364,0.6270419411328568,0.5991135193263082,0.629859179940242,0.6638422770781294,0.6013534377915953,0.5591476003083063,0.5186849815353896,0.6018358410858561,0.6237011244232457,0.5533841480979435,0.5252368157269008,0.5798261335933063,0.6824811676831978,0.5489791518400833,0.6231478244587336,0.5969728143078854,0.6695804574501147,0.6677464686369402,0.6401215795167259,0.6307146464442139,0.7091882772453055,0.6084024622423216,0.7035337132039134,0.670503890060576,0.6578819518082225,0.614614795071416,0.5661110063163237,0.7195710136741927,0.6455124084969139,0.6301182720025448,0.6491476724047605,0.5889377970503138,0.5270559381267149,0.415883628514722
China,0.0,0.2701614158871514,0.4773597968915751,0.5326165711482191,0.5361746857539277,0.6816717250131158,0.1216849464296229,0.0314230209581645,0.7291718069166013,0.6638015579982391,0.3836075827758271,0.3352045298091788,0.2648466157211671,0.3072052225105137,0.599519553165656,0.4038594397474043,0.5839881490799459,0.7681538691658862,0.6474981707241221,0.6349870663540956,0.6535659831362249,0.6338556820931301,0.8164995181465095,0.7322025997021115,0.761444240278686,0.6048814481348335,0.6228146491648293,0.5127661219982161,0.6826856694378683,0.6652086531319094,0.714996358951388,0.6579807485205279,0.7407405665604044,0.7765394714804555,0.7164822332551595,0.6683457010830244,0.6122082739688419,0.7044458113218606,0.7352407366313664,0.6468494746247476,0.6260723037532906,0.697216931585123,0.7725654073185896,0.6210904731054931,0.7106987884443448,0.6854849397215268,0.7571480367103444,0.7435557548539149,0.7315125495148035,0.6685830415341505,0.707826218409337,0.5950258573450051,0.711785953105599,0.6896493557761705,0.6647813239974966,0.6178075036068547,0.5550102260247693,0.7187099761119927,0.649309259017355,0.6276186300521169,0.6131877836213128,0.5582191336860689,0.5437504110258137,0.4759707910006907
